source_page,catalogue_ref,section,year,remarks,price_f,price_vf,price_xf,price_unc,rarity,mint,metal,weight,size,shape,issue_price,market_value,denomination,mintage
,UK-1P-2024,CHARLES III - ONE PENNY,2024,Hazel Dormouse (Flora and Fauna),,,,,R,Royal Mint,,,,,,,1 Penny,0
,UK-1P-2023,CHARLES III - ONE PENNY,2023,Hazel Dormouse (Flora and Fauna),,,,,S,Royal Mint,,,,,,,1 Penny,600000
,UK-1P-2022,ELIZABETH II - ONE PENNY,2022,,,,,,C,Royal Mint,,,,,,,1 Penny,30000000
,UK-1P-2021,ELIZABETH II - ONE PENNY,2021,,,,,,C,Royal Mint,,,,,,,1 Penny,56000000
,UK-1P-2020,ELIZABETH II - ONE PENNY,2020,,,,,,C,Royal Mint,,,,,,,1 Penny,88071910
,UK-1P-2019,ELIZABETH II - ONE PENNY,2019,,,,,,R,Royal Mint,,,,,,,1 Penny,0
,UK-1P-2018,ELIZABETH II - ONE PENNY,2018,,,,,,R,Royal Mint,,,,,,,1 Penny,0
,UK-1P-2017,ELIZABETH II - ONE PENNY,2017,,,,,,C,Royal Mint,,,,,,,1 Penny,240990600
,UK-1P-2016,ELIZABETH II - ONE PENNY,2016,,,,,,C,Royal Mint,,,,,,,1 Penny,368482000
,UK-1P-2015-4,ELIZABETH II - ONE PENNY,2015,4th Portrait,,,,,C,Royal Mint,,,,,,,1 Penny,154600000
,UK-1P-2015-5,ELIZABETH II - ONE PENNY,2015,5th Portrait,,,,,C,Royal Mint,,,,,,,1 Penny,418201016
,UK-1P-2014,ELIZABETH II - ONE PENNY,2014,,,,,,C,Royal Mint,,,,,,,1 Penny,464801520
,UK-1P-2013,ELIZABETH II - ONE PENNY,2013,,,,,,C,Royal Mint,,,,,,,1 Penny,260800000
,UK-1P-2012,ELIZABETH II - ONE PENNY,2012,,,,,,C,Royal Mint,,,,,,,1 Penny,227201000
,UK-1P-2011,ELIZABETH II - ONE PENNY,2011,,,,,,C,Royal Mint,,,,,,,1 Penny,431004000
,UK-1P-2010,ELIZABETH II - ONE PENNY,2010,,,,,,C,Royal Mint,,,,,,,1 Penny,609603000
,UK-1P-2009,ELIZABETH II - ONE PENNY,2009,,,,,,C,Royal Mint,,,,,,,1 Penny,556412800
,UK-1P-2008-I,ELIZABETH II - ONE PENNY,2008,Ironside,,,,,C,Royal Mint,,,,,,,1 Penny,180600000
,UK-1P-2008-D,ELIZABETH II - ONE PENNY,2008,Dent,,,,,C,Royal Mint,,,,,,,1 Penny,507952000
,UK-1P-2007,ELIZABETH II - ONE PENNY,2007,,,,,,C,Royal Mint,,,,,,,1 Penny,548002000
,UK-1P-2006,ELIZABETH II - ONE PENNY,2006,,,,,,C,Royal Mint,,,,,,,1 Penny,524605000
,UK-1P-2005,ELIZABETH II - ONE PENNY,2005,,,,,,C,Royal Mint,,,,,,,1 Penny,536318000
,UK-1P-2004,ELIZABETH II - ONE PENNY,2004,,,,,,C,Royal Mint,,,,,,,1 Penny,739764000
,UK-1P-2003,ELIZABETH II - ONE PENNY,2003,,,,,,C,Royal Mint,,,,,,,1 Penny,539436000
,UK-1P-2002,ELIZABETH II - ONE PENNY,2002,,,,,,C,Royal Mint,,,,,,,1 Penny,601446000
,UK-1P-2001,ELIZABETH II - ONE PENNY,2001,,,,,,C,Royal Mint,,,,,,,1 Penny,928698000
,UK-1P-2000,ELIZABETH II - ONE PENNY,2000,,,,,,C,Royal Mint,,,,,,,1 Penny,1060420000
,UK-1P-1999,ELIZABETH II - ONE PENNY,1999,,,,,,C,Royal Mint,,,,,,,1 Penny,891392000
,UK-1P-1998,ELIZABETH II - ONE PENNY,1998,,,,,,C,Royal Mint,,,,,,,1 Penny,739770000
,UK-1P-1997,ELIZABETH II - ONE PENNY,1997,,,,,,C,Royal Mint,,,,,,,1 Penny,396874000
,UK-1P-1996,ELIZABETH II - ONE PENNY,1996,,,,,,C,Royal Mint,,,,,,,1 Penny,723840060
,UK-1P-1995,ELIZABETH II - ONE PENNY,1995,,,,,,C,Royal Mint,,,,,,,1 Penny,303314000
,UK-1P-1994,ELIZABETH II - ONE PENNY,1994,,,,,,C,Royal Mint,,,,,,,1 Penny,843834000
,UK-1P-1993,ELIZABETH II - ONE PENNY,1993,,,,,,C,Royal Mint,,,,,,,1 Penny,602590000
,UK-1P-1992,ELIZABETH II - ONE PENNY,1992,,,,,,C,Royal Mint,,,,,,,1 Penny,253867000
,UK-1P-1991,ELIZABETH II - ONE PENNY,1991,,,,,,C,Royal Mint,,,,,,,1 Penny,206457600
,UK-1P-1990,ELIZABETH II - ONE PENNY,1990,,,,,,C,Royal Mint,,,,,,,1 Penny,529047500
,UK-1P-1989,ELIZABETH II - ONE PENNY,1989,,,,,,C,Royal Mint,,,,,,,1 Penny,658142000
,UK-1P-1988,ELIZABETH II - ONE PENNY,1988,,,,,,C,Royal Mint,,,,,,,1 Penny,793492000
,UK-1P-1987,ELIZABETH II - ONE PENNY,1987,,,,,,C,Royal Mint,,,,,,,1 Penny,499946000
,UK-1P-1986,ELIZABETH II - ONE PENNY,1986,,,,,,C,Royal Mint,,,,,,,1 Penny,369989130
,UK-1P-1985,ELIZABETH II - ONE PENNY,1985,,,,,,C,Royal Mint,,,,,,,1 Penny,200605245
,UK-1P-1984,ELIZABETH II - ONE PENNY,1984,,,,,,C,Royal Mint,,,,,,,1 Penny,154759625
,UK-1P-1983,ELIZABETH II - ONE PENNY,1983,,,,,,C,Royal Mint,,,,,,,1 Penny,243002000
,UK-1P-1982,ELIZABETH II - ONE PENNY,1982,,,,,,C,Royal Mint,,,,,,,1 Penny,100292000
,UK-1P-1981,ELIZABETH II - ONE PENNY,1981,,,,,,C,Royal Mint,,,,,,,1 Penny,301800000
,UK-1P-1980,ELIZABETH II - ONE PENNY,1980,,,,,,C,Royal Mint,,,,,,,1 Penny,416304000
,UK-1P-1979,ELIZABETH II - ONE PENNY,1979,,,,,,C,Royal Mint,,,,,,,1 Penny,459000000
,UK-1P-1978,ELIZABETH II - ONE PENNY,1978,,,,,,C,Royal Mint,,,,,,,1 Penny,292770000
,UK-1P-1977,ELIZABETH II - ONE PENNY,1977,,,,,,C,Royal Mint,,,,,,,1 Penny,285430000
,UK-1P-1976,ELIZABETH II - ONE PENNY,1976,,,,,,C,Royal Mint,,,,,,,1 Penny,300160000
,UK-1P-1975,ELIZABETH II - ONE PENNY,1975,,,,,,C,Royal Mint,,,,,,,1 Penny,221604000
,UK-1P-1974,ELIZABETH II - ONE PENNY,1974,,,,,,C,Royal Mint,,,,,,,1 Penny,330892000
,UK-1P-1973,ELIZABETH II - ONE PENNY,1973,,,,,,C,Royal Mint,,,,,,,1 Penny,280196000
,UK-1P-1971,ELIZABETH II - ONE PENNY,1971,,,,,,C,Royal Mint,,,,,,,1 Penny,1521666250
,UK-2P-2024,CHARLES III - TWO PENCE,2024,Red Squirrel (Flora and Fauna),,,,,R,Royal Mint,,,,,,,2 Pence,0
,UK-2P-2023,CHARLES III - TWO PENCE,2023,Red Squirrel (Flora and Fauna),,,,,R,Royal Mint,,,,,,,2 Pence,0
,UK-2P-2022,ELIZABETH II - TWO PENCE,2022,,,,,,R,Royal Mint,,,,,,,2 Pence,0
,UK-2P-2021,ELIZABETH II - TWO PENCE,2021,,,,,,C,Royal Mint,,,,,,,2 Pence,117700000
,UK-2P-2020,ELIZABETH II - TWO PENCE,2020,,,,,,R,Royal Mint,,,,,,,2 Pence,0
,UK-2P-2019,ELIZABETH II - TWO PENCE,2019,,,,,,R,Royal Mint,,,,,,,2 Pence,0
,UK-2P-2018,ELIZABETH II - TWO PENCE,2018,,,,,,R,Royal Mint,,,,,,,2 Pence,0
,UK-2P-2017,ELIZABETH II - TWO PENCE,2017,,,,,,C,Royal Mint,,,,,,,2 Pence,16600000
,UK-2P-2016,ELIZABETH II - TWO PENCE,2016,,,,,,C,Royal Mint,,,,,,,2 Pence,185600000
,UK-2P-2015-4,ELIZABETH II - TWO PENCE,2015,4th Portrait,,,,,C,Royal Mint,,,,,,,2 Pence,85900000
,UK-2P-2015-5,ELIZABETH II - TWO PENCE,2015,5th Portrait,,,,,C,Royal Mint,,,,,,,2 Pence,139200000
,UK-2P-2014,ELIZABETH II - TWO PENCE,2014,,,,,,C,Royal Mint,,,,,,,2 Pence,247600020
,UK-2P-2013,ELIZABETH II - TWO PENCE,2013,,,,,,C,Royal Mint,,,,,,,2 Pence,40600000
,UK-2P-2012,ELIZABETH II - TWO PENCE,2012,,,,,,C,Royal Mint,,,,,,,2 Pence,67800000
,UK-2P-2011,ELIZABETH II - TWO PENCE,2011,,,,,,C,Royal Mint,,,,,,,2 Pence,144300000
,UK-2P-2010,ELIZABETH II - TWO PENCE,2010,,,,,,C,Royal Mint,,,,,,,2 Pence,99600000
,UK-2P-2009,ELIZABETH II - TWO PENCE,2009,,,,,,C,Royal Mint,,,,,,,2 Pence,150500500
,UK-2P-2008-I,ELIZABETH II - TWO PENCE,2008,Ironside,,,,,C,Royal Mint,,,,,,,2 Pence,10600000
,UK-2P-2008-D,ELIZABETH II - TWO PENCE,2008,Dent,,,,,C,Royal Mint,,,,,,,2 Pence,241679000
,UK-2P-2007,ELIZABETH II - TWO PENCE,2007,,,,,,C,Royal Mint,,,,,,,2 Pence,254500000
,UK-2P-2006,ELIZABETH II - TWO PENCE,2006,,,,,,C,Royal Mint,,,,,,,2 Pence,170637000
,UK-2P-2005,ELIZABETH II - TWO PENCE,2005,,,,,,C,Royal Mint,,,,,,,2 Pence,280396000
,UK-2P-2004,ELIZABETH II - TWO PENCE,2004,,,,,,C,Royal Mint,,,,,,,2 Pence,356396000
,UK-2P-2003,ELIZABETH II - TWO PENCE,2003,,,,,,C,Royal Mint,,,,,,,2 Pence,260225000
,UK-2P-2002,ELIZABETH II - TWO PENCE,2002,,,,,,C,Royal Mint,,,,,,,2 Pence,168556000
,UK-2P-2001,ELIZABETH II - TWO PENCE,2001,,,,,,C,Royal Mint,,,,,,,2 Pence,551880000
,UK-2P-2000,ELIZABETH II - TWO PENCE,2000,,,,,,C,Royal Mint,,,,,,,2 Pence,536659000
,UK-2P-1999,ELIZABETH II - TWO PENCE,1999,,,,,,C,Royal Mint,,,,,,,2 Pence,353816000
,UK-2P-1998-B,ELIZABETH II - TWO PENCE,1998,Bronze,,,,,C,Royal Mint,Bronze,,,,,,2 Pence,98676000
,UK-2P-1998-C,ELIZABETH II - TWO PENCE,1998,Copper-plated Steel,,,,,C,Royal Mint,Copper-plated Steel,,,,,,2 Pence,115154000
,UK-2P-1997,ELIZABETH II - TWO PENCE,1997,,,,,,C,Royal Mint,,,,,,,2 Pence,496116000
,UK-2P-1996,ELIZABETH II - TWO PENCE,1996,,,,,,C,Royal Mint,,,,,,,2 Pence,296278000
,UK-2P-1995,ELIZABETH II - TWO PENCE,1995,,,,,,C,Royal Mint,,,,,,,2 Pence,124482000
,UK-2P-1994,ELIZABETH II - TWO PENCE,1994,,,,,,C,Royal Mint,,,,,,,2 Pence,531628000
,UK-2P-1993,ELIZABETH II - TWO PENCE,1993,,,,,,C,Royal Mint,,,,,,,2 Pence,235674000
,UK-2P-1992,ELIZABETH II - TWO PENCE,1992,,,,,,C,Royal Mint,,,,,,,2 Pence,102247000
,UK-2P-1991,ELIZABETH II - TWO PENCE,1991,,,,,,C,Royal Mint,,,,,,,2 Pence,86625250
,UK-2P-1990,ELIZABETH II - TWO PENCE,1990,,,,,,C,Royal Mint,,,,,,,2 Pence,204499700
,UK-2P-1989,ELIZABETH II - TWO PENCE,1989,,,,,,C,Royal Mint,,,,,,,2 Pence,359226000
,UK-2P-1988,ELIZABETH II - TWO PENCE,1988,,,,,,C,Royal Mint,,,,,,,2 Pence,419889000
,UK-2P-1987,ELIZABETH II - TWO PENCE,1987,,,,,,C,Royal Mint,,,,,,,2 Pence,218100750
,UK-2P-1986,ELIZABETH II - TWO PENCE,1986,,,,,,C,Royal Mint,,,,,,,2 Pence,168967500
,UK-2P-1985,ELIZABETH II - TWO PENCE,1985,,,,,,C,Royal Mint,,,,,,,2 Pence,107113000
,UK-2P-1981,ELIZABETH II - TWO PENCE,1981,,,,,,C,Royal Mint,,,,,,,2 Pence,353191000
,UK-2P-1980,ELIZABETH II - TWO PENCE,1980,,,,,,C,Royal Mint,,,,,,,2 Pence,408527000
,UK-2P-1979,ELIZABETH II - TWO PENCE,1979,,,,,,C,Royal Mint,,,,,,,2 Pence,260200000
,UK-2P-1978,ELIZABETH II - TWO PENCE,1978,,,,,,C,Royal Mint,,,,,,,2 Pence,189658000
,UK-2P-1977,ELIZABETH II - TWO PENCE,1977,,,,,,C,Royal Mint,,,,,,,2 Pence,109281000
,UK-2P-1976,ELIZABETH II - TWO PENCE,1976,,,,,,C,Royal Mint,,,,,,,2 Pence,181379000
,UK-2P-1975,ELIZABETH II - TWO PENCE,1975,,,,,,C,Royal Mint,,,,,,,2 Pence,145545000
,UK-2P-1971,ELIZABETH II - TWO PENCE,1971,,,,,,C,Royal Mint,,,,,,,2 Pence,1454856250
,UK-5P-2024,CHARLES III - FIVE PENCE,2024,Oak Tree Leaf (Flora and Fauna),,,,,R,Royal Mint,,,,,,,5 Pence,0
,UK-5P-2023,CHARLES III - FIVE PENCE,2023,Oak Tree Leaf (Flora and Fauna),,,,,C,Royal Mint,,,,,,,5 Pence,32400000
,UK-5P-2022,ELIZABETH II - FIVE PENCE,2022,,,,,,C,Royal Mint,,,,,,,5 Pence,42800000
,UK-5P-2021,ELIZABETH II - FIVE PENCE,2021,,,,,,C,Royal Mint,,,,,,,5 Pence,28000000
,UK-5P-2020,ELIZABETH II - FIVE PENCE,2020,,,,,,C,Royal Mint,,,,,,,5 Pence,49200000
,UK-5P-2019,ELIZABETH II - FIVE PENCE,2019,,,,,,C,Royal Mint,,,,,,,5 Pence,92800000
,UK-5P-2018,ELIZABETH II - FIVE PENCE,2018,,,,,,R,Royal Mint,,,,,,,5 Pence,0
,UK-5P-2017,ELIZABETH II - FIVE PENCE,2017,,,,,,C,Royal Mint,,,,,,,5 Pence,220515000
,UK-5P-2016,ELIZABETH II - FIVE PENCE,2016,,,,,,C,Royal Mint,,,,,,,5 Pence,305740000
,UK-5P-2015-4,ELIZABETH II - FIVE PENCE,2015,4th Portrait,,,,,C,Royal Mint,,,,,,,5 Pence,163000000
,UK-5P-2015-5,ELIZABETH II - FIVE PENCE,2015,5th Portrait,,,,,C,Royal Mint,,,,,,,5 Pence,536600000
,UK-5P-2014,ELIZABETH II - FIVE PENCE,2014,,,,,,C,Royal Mint,,,,,,,5 Pence,885004520
,UK-5P-2013,ELIZABETH II - FIVE PENCE,2013,,,,,,C,Royal Mint,,,,,,,5 Pence,378800750
,UK-5P-2012,ELIZABETH II - FIVE PENCE,2012,,,,,,C,Royal Mint,,,,,,,5 Pence,339802350
,UK-5P-2011,ELIZABETH II - FIVE PENCE,2011,,,,,,C,Royal Mint,,,,,,,5 Pence,50400000
,UK-5P-2010,ELIZABETH II - FIVE PENCE,2010,,,,,,C,Royal Mint,,,,,,,5 Pence,396245500
,UK-5P-2009,ELIZABETH II - FIVE PENCE,2009,,,,,,C,Royal Mint,,,,,,,5 Pence,132960300
,UK-5P-2008-I,ELIZABETH II - FIVE PENCE,2008,Ironside,,,,,C,Royal Mint,,,,,,,5 Pence,92880000
,UK-5P-2008-D,ELIZABETH II - FIVE PENCE,2008,Dent,,,,,C,Royal Mint,,,,,,,5 Pence,165172000
,UK-5P-2007,ELIZABETH II - FIVE PENCE,2007,,,,,,C,Royal Mint,,,,,,,5 Pence,246720000
,UK-5P-2006,ELIZABETH II - FIVE PENCE,2006,,,,,,C,Royal Mint,,,,,,,5 Pence,317697000
,UK-5P-2005,ELIZABETH II - FIVE PENCE,2005,,,,,,C,Royal Mint,,,,,,,5 Pence,236212000
,UK-5P-2004,ELIZABETH II - FIVE PENCE,2004,,,,,,C,Royal Mint,,,,,,,5 Pence,271810000
,UK-5P-2003,ELIZABETH II - FIVE PENCE,2003,,,,,,C,Royal Mint,,,,,,,5 Pence,333230000
,UK-5P-2002,ELIZABETH II - FIVE PENCE,2002,,,,,,C,Royal Mint,,,,,,,5 Pence,219258000
,UK-5P-2001,ELIZABETH II - FIVE PENCE,2001,,,,,,C,Royal Mint,,,,,,,5 Pence,337930000
,UK-5P-2000,ELIZABETH II - FIVE PENCE,2000,,,,,,C,Royal Mint,,,,,,,5 Pence,388512000
,UK-5P-1999,ELIZABETH II - FIVE PENCE,1999,,,,,,C,Royal Mint,,,,,,,5 Pence,195490000
,UK-5P-1998,ELIZABETH II - FIVE PENCE,1998,,,,,,C,Royal Mint,,,,,,,5 Pence,217376000
,UK-5P-1997,ELIZABETH II - FIVE PENCE,1997,,,,,,C,Royal Mint,,,,,,,5 Pence,236596000
,UK-5P-1996,ELIZABETH II - FIVE PENCE,1996,,,,,,C,Royal Mint,,,,,,,5 Pence,302902000
,UK-5P-1995,ELIZABETH II - FIVE PENCE,1995,,,,,,C,Royal Mint,,,,,,,5 Pence,183384000
,UK-5P-1994,ELIZABETH II - FIVE PENCE,1994,,,,,,C,Royal Mint,,,,,,,5 Pence,93602000
,UK-5P-1992,ELIZABETH II - FIVE PENCE,1992,,,,,,C,Royal Mint,,,,,,,5 Pence,453173500
,UK-5P-1991,ELIZABETH II - FIVE PENCE,1991,,,,,,C,Royal Mint,,,,,,,5 Pence,724979000
,UK-5P-1990,ELIZABETH II - FIVE PENCE,1990,,,,,,C,Royal Mint,,,,,,,5 Pence,1634976005
,UK-5P-1989,ELIZABETH II - FIVE PENCE,1989,,,,,,C,Royal Mint,,,,,,,5 Pence,101406000
,UK-5P-1988,ELIZABETH II - FIVE PENCE,1988,,,,,,C,Royal Mint,,,,,,,5 Pence,120744610
,UK-5P-1987,ELIZABETH II - FIVE PENCE,1987,,,,,,C,Royal Mint,,,,,,,5 Pence,48220000
,UK-5P-1980,ELIZABETH II - FIVE PENCE,1980,,,,,,C,Royal Mint,,,,,,,5 Pence,220566000
,UK-5P-1979,ELIZABETH II - FIVE PENCE,1979,,,,,,C,Royal Mint,,,,,,,5 Pence,155456000
,UK-5P-1978,ELIZABETH II - FIVE PENCE,1978,,,,,,C,Royal Mint,,,,,,,5 Pence,61094000
,UK-5P-1977,ELIZABETH II - FIVE PENCE,1977,,,,,,C,Royal Mint,,,,,,,5 Pence,24308000
,UK-5P-1975,ELIZABETH II - FIVE PENCE,1975,,,,,,C,Royal Mint,,,,,,,5 Pence,141539000
,UK-5P-1971,ELIZABETH II - FIVE PENCE,1971,,,,,,C,Royal Mint,,,,,,,5 Pence,81783475
,UK-5P-1970,ELIZABETH II - FIVE PENCE,1970,,,,,,C,Royal Mint,,,,,,,5 Pence,225948525
,UK-5P-1969,ELIZABETH II - FIVE PENCE,1969,,,,,,C,Royal Mint,,,,,,,5 Pence,120270000
,UK-5P-1968,ELIZABETH II - FIVE PENCE,1968,,,,,,C,Royal Mint,,,,,,,5 Pence,98868250
,UK-10P-2024,CHARLES III - TEN PENCE,2024,Capercaillie (Flora and Fauna),,,,,R,Royal Mint,,,,,,,10 Pence,0
,UK-10P-2023,CHARLES III - TEN PENCE,2023,Capercaillie (Flora and Fauna),,,,,S,Royal Mint,,,,,,,10 Pence,600000
,UK-10P-2022,ELIZABETH II - TEN PENCE,2022,,,,,,C,Royal Mint,,,,,,,10 Pence,38000000
,UK-10P-2021,ELIZABETH II - TEN PENCE,2021,,,,,,C,Royal Mint,,,,,,,10 Pence,71200000
,UK-10P-2020,ELIZABETH II - TEN PENCE,2020,,,,,,C,Royal Mint,,,,,,,10 Pence,45347846
,UK-10P-2019,ELIZABETH II - TEN PENCE,2019,,,,,,R,Royal Mint,,,,,,,10 Pence,0
,UK-10P-2019-GBA,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - A,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBB,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - B,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBC,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - C,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBD,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - D,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBE,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - E,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBF,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - F,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBG,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - G,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBH,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - H,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBI,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - I,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBJ,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - J,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBK,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - K,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBL,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - L,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBM,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - M,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBN,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - N,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBO,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - O,,,,,S,Royal Mint,,,,,,,10 Pence,84000
,UK-10P-2019-GBP,ELIZABETH II - TEN PENCE,2019,Great British Coin Hunt - P,,,,,S,Royal Mint,,,,,,,10 Pence,84000
